"","Ctry_code","filing_year","mean_k"
"1","Switzerland",1980,NA
"2","Switzerland",1981,NA
"3","Switzerland",1982,NA
"4","Switzerland",1983,NA
"5","Switzerland",1984,12.8521126760563
"6","Switzerland",1985,12.79796168727
"7","Switzerland",1986,12.8649111732347
"8","Switzerland",1987,12.7993652427518
"9","Switzerland",1988,12.7619317262579
"10","Switzerland",1989,12.832024263162
"11","Switzerland",1990,12.8868228966577
"12","Switzerland",1991,13.0033485540335
"13","Switzerland",1992,13.2842693236715
"14","Switzerland",1993,13.6582643406268
"15","Switzerland",1994,14.0173718128327
"16","Switzerland",1995,14.24117609378
"17","Switzerland",1996,14.6494471633134
"18","Switzerland",1997,15.103204028554
"19","Switzerland",1998,15.5576435264275
"20","Switzerland",1999,16.4643959813771
"21","Switzerland",2000,17.6267713519724
"22","Switzerland",2001,18.6685275962237
"23","Switzerland",2002,19.651749063002
"24","Switzerland",2003,20.5889178100322
"25","Switzerland",2004,21.4753351441339
"26","Switzerland",2005,22.011955114372
"27","Switzerland",2006,22.7503953610965
"28","Switzerland",2007,23.0787846195214
"29","Switzerland",2008,23.9036321165209
"30","Switzerland",2009,24.0309593092592
"31","Switzerland",2010,24.252561631328
"32","Switzerland",2011,24.5942578548212
"33","Switzerland",2012,26.1323891256076
"34","Switzerland",2013,26.6122677099343
"35","United States",1980,NA
"36","United States",1981,NA
"37","United States",1982,NA
"38","United States",1983,NA
"39","United States",1984,14.5173099078341
"40","United States",1985,14.6922155480712
"41","United States",1986,14.8278060843443
"42","United States",1987,14.9099136647812
"43","United States",1988,14.9839454318245
"44","United States",1989,15.1864319780995
"45","United States",1990,15.4665147873238
"46","United States",1991,15.8695761684979
"47","United States",1992,16.4561710808771
"48","United States",1993,17.1183540877098
"49","United States",1994,17.9373838767782
"50","United States",1995,19.0375241884409
"51","United States",1996,20.9218560549698
"52","United States",1997,23.5507480220986
"53","United States",1998,26.4468667926659
"54","United States",1999,29.3672841280389
"55","United States",2000,32.7074043974148
"56","United States",2001,35.0757771542883
"57","United States",2002,36.8460420715235
"58","United States",2003,38.176486788385
"59","United States",2004,39.7504171281372
"60","United States",2005,41.0680621892464
"61","United States",2006,42.6882634624927
"62","United States",2007,44.5710925570969
"63","United States",2008,46.5306349238356
"64","United States",2009,47.2723655712283
"65","United States",2010,47.7080126950478
"66","United States",2011,48.0588058360271
"67","United States",2012,48.7827624544637
"68","United States",2013,48.8941168954698
