"","year","countries","share_digi"
"1",2000,"United States",0.0169491525423729
"2",2001,"United States",0.0349040139616056
"3",2002,"Germany",0.0777604976671851
"4",2002,"United Kingdom",0.105932203389831
"5",2003,"United States",0.0524842547235829
"6",2004,"China",0.0536768652710682
"7",2004,"United States",0.0674422525712359
"8",2005,"Germany",0.0723589001447178
"9",2005,"United States",0.0864603147155456
"10",2006,"Canada",0.120481927710843
"11",2006,"United States",0.0173280194073817
"12",2007,"Australia",0.256410256410256
"13",2007,"Canada",0.116279069767442
"14",2007,"China",0.0290023201856148
"15",2007,"Germany",0.0684462696783025
"16",2007,"Italy",0.293685756240822
"17",2007,"South Korea",0.162337662337662
"18",2007,"United Kingdom",0.103092783505155
"19",2007,"United States",0.140795494544175
"20",2008,"Canada",0.123304562268804
"21",2008,"China",0.0974184120798831
"22",2008,"Italy",0.152671755725191
"23",2008,"United States",0.0693721817551162
"24",2009,"Canada",0.235017626321974
"25",2009,"China",0.0674460431654676
"26",2009,"Germany",0.142247510668563
"27",2009,"United Kingdom",0.0962463907603465
"28",2009,"United States",0.0899442345745638
"29",2010,"Australia",0.233644859813084
"30",2010,"China",0.06282722513089
"31",2010,"South Korea",0.119047619047619
"32",2010,"United Kingdom",0.197628458498024
"33",2010,"United States",0.0544365813826892
"34",2011,"China",0.0384245917387128
"35",2011,"Germany",0.070871722182849
"36",2011,"Italy",0.133511348464619
"37",2011,"Japan",0.0457247370827618
"38",2011,"South Korea",0.206185567010309
"39",2011,"Switzerland",0.303951367781155
"40",2011,"United Kingdom",0.10515247108307
"41",2011,"United States",0.140154169586545
"42",2012,"China",0.0323415265200517
"43",2012,"France",0.128205128205128
"44",2012,"Germany",0.0679347826086956
"45",2012,"Italy",0.138312586445367
"46",2012,"Netherlands",0.229357798165138
"47",2012,"United Kingdom",0.0945179584120983
"48",2012,"United States",0.0346560388147635
"49",2013,"China",0.0143451441686989
"50",2013,"Germany",0.136332651670075
"51",2013,"Italy",0.12987012987013
"52",2013,"Sweden",0.255754475703325
"53",2013,"United Kingdom",0.202020202020202
"54",2013,"United States",0.069432390210033
"55",2014,"Canada",0.113122171945701
"56",2014,"China",0.0782268578878748
"57",2014,"Germany",0.280504908835905
"58",2014,"Netherlands",0.235849056603774
"59",2014,"South Korea",0.181323662737987
"60",2014,"United Kingdom",0.407747196738022
"61",2014,"United States",0.252025202520252
"62",2015,"China",0.0239693192713327
"63",2015,"France",0.146198830409357
"64",2015,"Germany",0.143266475644699
"65",2015,"Italy",0.136798905608755
"66",2015,"Netherlands",0.233100233100233
"67",2015,"United Kingdom",0.105042016806723
"68",2015,"United States",0.131926121372032
"69",2016,"Canada",0.261437908496732
"70",2016,"China",0.033288948069241
"71",2016,"Italy",0.294117647058824
"72",2016,"Japan",0.0549752611324904
"73",2016,"Netherlands",0.246913580246914
"74",2016,"South Korea",0.189393939393939
"75",2016,"United Kingdom",0.208768267223382
"76",2016,"United States",0.0582072176949942
"77",2017,"Australia",0.418410041841004
"78",2017,"Canada",0.127713920817369
"79",2017,"China",0.0833420147932076
"80",2017,"Germany",0.222222222222222
"81",2017,"Italy",0.285306704707561
"82",2017,"Japan",0.0566251415628539
"83",2017,"Netherlands",0.253164556962025
"84",2017,"South Korea",0.354609929078014
"85",2017,"United Kingdom",0.41025641025641
"86",2017,"United States",0.432900432900433
"87",2018,"Australia",0.533807829181495
"88",2018,"Canada",0.240963855421687
"89",2018,"China",0.114790286975717
"90",2018,"France",0.429184549356223
"91",2018,"Germany",0.443131462333826
"92",2018,"Japan",0.0530785562632696
"93",2018,"Netherlands",0.435729847494553
"94",2018,"South Korea",0.0884173297966401
"95",2018,"Sweden",0.253164556962025
"96",2018,"Switzerland",0.649350649350649
"97",2018,"United Kingdom",0.308641975308642
"98",2018,"United States",0.382583348515212
"99",2019,"Australia",0.743494423791822
"100",2019,"Canada",0.227531285551763
"101",2019,"China",0.147618677647424
"102",2019,"France",0.27027027027027
"103",2019,"Germany",0.323624595469256
"104",2019,"Italy",0.26281208935611
"105",2019,"Japan",0.0541711809317443
"106",2019,"Netherlands",0.884955752212389
"107",2019,"South Korea",0.24232633279483
"108",2019,"Switzerland",0.574712643678161
"109",2019,"United Kingdom",0.48828125
"110",2019,"United States",0.606493043168034
"111",2020,"Australia",0.55350553505535
"112",2020,"Canada",0.862068965517241
"113",2020,"China",0.341225626740947
"114",2020,"France",0.395256916996047
"115",2020,"Germany",0.475220638153428
"116",2020,"Italy",0.555555555555556
"117",2020,"Japan",0.160944206008584
"118",2020,"Netherlands",0.689655172413793
"119",2020,"South Korea",0.155763239875389
"120",2020,"Sweden",0.255754475703325
"121",2020,"Switzerland",0.576368876080692
"122",2020,"United Kingdom",1.27853881278539
"123",2020,"United States",0.627690100430416
