"","countries","tot_ctry","count_ctry","share_digi"
"1","Australia",2486,12,0.482703137570394
"2","Canada",5285,16,0.302743614001892
"3","China",101985,158,0.154924743834878
"4","France",2569,8,0.311405216037369
"5","Germany",13566,32,0.235883827215097
"6","Italy",4266,12,0.281293952180028
"7","Japan",9279,11,0.118547257247548
"8","Netherlands",3674,15,0.408274360370169
"9","South Korea",8922,19,0.212956736157812
"10","Sweden",1497,7,0.467601870407482
"11","Switzerland",1651,9,0.545124167171411
"12","United Kingdom",10088,48,0.475812846946868
"13","United States",60624,147,0.242478226444972
